duygu;veri
Olumsuz;Çok büyük heycan ve beklentiyle aldım. Ama makineyi açar açmaz volanı dönmemeye başladı. Yarın servise götürüyorum. Umarım küçük bir sorundur. Hemen hallolur ??
Olumlu;Araştırıp aldık gayet iyi
Olumlu;ürün çok kaliteli ve çok kısa sürede elime ulaştı
Olumlu;2 haftadır kullanıyorum. bir sıkıntı görmedim. satıcıya teşekkürler..
Olumsuz;ürünü bir süredir kullanıyorum etkisini henüz fark etmedim. akşamdan akşama sürüyorum üzerine nemlendirici süremiyorum sürdüğüm anda yanma ve batma yaptı üründen mi cildim mi hassas bilemedim :) cildinizi en iyi siz tanırsınız ona göre seçim yapın gerçi şuda var en güvenilir ve zararlı maddeler içermeyen markalardan biri başka ne kullanabilirdim bilmiyorum sanırım gözeneklerimle barışmam gerekiyor
Olumsuz;Satıcı süper radyo berbat diye götürdüm adamlar sagolsun yenisini açtı test ettik al abi bunu kullan dediler ciktik geldik ofise yine yok yine yok yahu ucuz diye illa bi yerlwei adimi olmak zorunda
Olumsuz;bosuna paranızı çöpe atmayın hıc bır sey yapmıyr
Olumlu;Ürün çok hızlı geldi ve üründen memnun kaldım
Olumsuz;Arkadaslar gerçekten is görmez kotu yani
Olumlu;teşekkürler kaliteli ürün
Olumlu;Ürünüm geldi. Denemek nasip olmadı. Teslimat hızlıydı. Mng kargo farkı.
Olumsuz;alali 1 yil oldu dosya acmak istesem harddiskten takir tukur ses gelyor
Olumlu;Daha ne olsun süüüüüüüperrrr.
Olumlu;denedim ve sonuç mukemmle
Olumsuz;Henüz kullanmadığım için yorum yok.
Olumlu;çok kullanışlı ve kaliteli bir ürün
Olumsuz;Hayır gördüğüm gibi değil
Olumlu;Tam beklediğimiz gibi ??
Olumlu;Çok güzel bir ürün çayın lezzeti çok güzel oluyor
Olumsuz;Lens'leri iyi değil ve burnu rahatsız ediyor.
Olumlu;ürün muhteşem tavsiye ederim
Olumlu;Çok iyi gayet kısa sürede teslim edildi
Olumlu;Cok kullanışlı ve şık hızlı  teslimat içinde  tesekkurler
Olumsuz;çekim gücü kötü
Olumlu;Ürünün görünüşü çok güzel.Malzeme kalitesi iyi.Çaydanlık kısmı aciklamadaki gibi 1.7 lt değil.1.6 lt kullanim klavuzunda yazıyor.Suyu kaynatirken biraz gurültü oluyor.Onun dışında kisa sürede kaynayıp çay hazir hale geliyor.Tavsiye ederim.
Olumsuz;Blender motoru garanti süresi dolduktan sonra yandı. Maalesef beğenerek aldığımız bu ürün bizi hayalkırıklığına uğrattı
Olumlu;ürün geldi paketi düzgün kargo yapılmış ama daha çlıştırmadık teşekkürler
Olumsuz;Defolu bir urun resim ekleyemedim saskinim
Olumlu;almanızı kesinlikle öneriyorum ben alalı 11 ay oldu ve saniyelik donma yaşamadım defalarca düşürmeme rağmen kırılma gibi bi sıkıntım olmadı kesinlikle memnun kalacağınız bir telefon
Olumsuz;Kesinlikle tavsiye etmiyorum 3 kullanimda camın altı cıktı  servise gönderdik 20 gün sonra yenisini gondereceklerini soylediler ürün geldi paketi açtığımızda kullanılmış kirli camı kırık bir ürün çıktı
Olumlu;Geç geldi kargom ama istediğim gibiyddi tşk
Olumlu;BAŞKA RENGİ BULAMADIM AMA ZAMANLA BU RENGİ SEVDİM. KAMERASI SÖYLEDİKLERİ KADAR VAR PORTRE VE ÜRÜN ÇEKİMİ YAPIYORUM EVDE ONUN İÇİN YETERLİ. NE TAKILMA VAR NE DOKUNMATİK SORUNU
Olumlu;Ürün beklediğim gibiydi ama amazzon kargo teslim tarihinden üç gün sonra teslimat yaparak beni hayal kırıklığına uğrattı. Nasıl telafi eder bilmiyorum.
Olumlu;mükembelllllll
Olumlu;bayıldım çok teşekkğr ederim
Olumlu;Olumlu yönleri: Gayet güzel
Olumlu;4 yıldır hala taş gibi telefon. Pili bile hala bir tam günü çıkarıyor
Olumlu;Çok kullanışlı harika bir mikser
Olumlu;Telefondan memnunum. Bu zor günlerde hem kargo şirketi hepsijet ve hepsiburadaya gösterdiği özverili çalışmalar için teşekkür ederim.
Olumsuz;Bende yeni taktırdım sadece 3 petek acik 6 adet petek var hepsini açmam gerekirmi
Olumsuz;Denemek amacıyla aldım 2 gün kullanıp zevkimi alınca şuan olduğu gibi duruyor.
Olumsuz;Hayır. Saglam değildi veya düzgün paketlenmedi.
Olumsuz;daha ilk kullanımda arıza verdi ve teknik servise göndermek zorunda kaldık. şuan sorun yok
Olumlu;Artık eskisi gibi çekmiyor o konuda sıkıntı yaşadım ona da baktırıcam onun dışında çok güzel ve kaliteli bir ürün ışıklı olması çok güzel bir özellik tozlar yerdekiler çok iyi görünüyor çekim gücü de çok iyi ben beğendim
Olumlu;hem küçük hem de normal ütü görevi görüyor.
Olumsuz;iyi ürün fiyatına göre
Olumlu;bekâr için mütevazı bir buz dolabı
Olumsuz;ses derinden ve kötü. tavsiye edilmez
Olumsuz;Daha bir ay olmadı alalı hemen bozuldu.
Olumlu;Fiyat ve özellikleri bakımından gayet güzel telefon. Selfi kamerasında flaş var siz düşünün artık. Kargo hızlıydı ama telefon için bana biraz özensiz paketlenmiş geldi.
Olumsuz;Hemen yanibasinda kullanarak fiyat performans olarak cok iyi verim alabilirsiniz ancak 2 oda uzaklastiginizda cekmiyor cektiginde kopuyor. Genisletici ile kullaninca da surekli bir sorun oluyor tavsiye etmiyorum.
Olumsuz;ürünü henüz kullanmadım
Olumlu;5 puanlık ürün
Olumsuz;Urun almamin üzerinden kisa bir sure gecmesine ragmen yavaş yavaş bozulmaya basladi once düğmesi surekli atiyordu daha sonra isigi yanmamaya basladi daha da sonra suyu kaynatmasi icin dugmeyi elimle tutmak zorunda kaliyordum surekli atiyordu
Olumlu;Kullanışlı güzel ürün
Olumlu;on numara bir makine toz çekiyor resmen
Olumlu;Telefon harika zamanında elime ulaştı. Fiyat çoğu yere göre uygun. Kulaklıkla ilgili ufak bir problem yaşamıştım.O sorunda anında fazlasıyla çözüldü. Teşekkürler!
Olumlu;Fiyatına gore fazlasıyla işinizi görür çekiş gücü güzel temizliği kolay
Olumsuz;Ütü yu yeni aldım alttan çok fazla şu akıtıyor iade etme için aldığım günün diğer günü götürdüm almadılar   haram ediyorum o ütunun parası ni  bizi bu şekilde mağdur etmeye hakkınız yok
Olumlu;cok kullanisli 1 yildir kullaniyorum hic bir problem yaşamadım. tavsiye ederim.
Olumlu;çok kullanışlı ve pratik temizlemesi çok kolay ?
Olumsuz;vasat
Olumlu;Biraz ağır ama kullanım olarak çok rahat. Gönül rahatlığıyla alabilirsiniz.
Olumlu;Tavsiye ederim
Olumlu;Çok güzel bi çaycı sesli uyarması çok büyük rahatlık sağlıyor
Olumsuz;2018 Aralık ayında bulaşık makinası aldım şubatta arza verdi tabaklarım bardaklarım karışıklarım yandı servisi çagırdım geldiler kullanıcı hatası renkli tabak koymuşsunuz dediler benden garantisi olmasına rağmen 800 milyon para istediler ilgilenmenizi rica ediyorum ikinci servis çagırmamız çözüm bulamadılar
Olumsuz;Ürünü 2016 Temmuzda aldım. 3 ay içinde panelde gölgelenme meydana geldi. Kimseye Önermiyorum.
Olumlu;Telefonu tam 2.5 yıldır kullanıyorum. İlk 2 sene günde 5 6 saat oynadığım oluyodu ona rağmen hala şuan on numara. Tek sıkıntısı batarya onuda anlayışla karşılayabiliyorum çünkü her telefonda olan birşey 3 sene dolduğunda bataryayı değiştirip en az iki sene daha kullanmayı düşünüyorum. Bundan sonra İPhone u zor bırakırım android zulümdü.
Olumlu;İlk çeyiz alışverişim marka belli gayet güzel
Olumlu;Gayet güzel paketlenmiş beklediğimden hızlı geldi çok teşekkürler
Olumlu;Ürünü çok beğenmiyorum ama mağazadan teslim var sadece satın alamıyorum ama istiyorum ben bunu ya
Olumlu;Süper Çok Beğendim Güzel
Olumlu;Beğendik ama alt kısmında bi yerinde göçük var olarak geldi.
Olumsuz;Maalesef hamur yoğurma kabına çırpma teli ulasmiyor bu yüzden hiç memnun kalmadim
Olumsuz;süpürge ilk 1 ay gayet güzel çekiyordu ancak her geçen gün daha az çekmeye başladı philips maraton modelini tercih edin bence çok sessiz olduğu kesin ama halının üstündeki tüyleri bile çekmiyor
Olumsuz;bir sürü para verip eczacı tavsiyesi ile aldım. yüzüm yoğurt sürmüş gibi bembeyaz tabaka oldu cildim emmedi maalesef. denemeden almayın derim.
Olumsuz;Tasarım ve temizliği kolay bir ürün yalnız ürün büraz ısındıktan sonra termostat kısmında temassızlık oluyor servise götürdüm bir sorun yok dediler fakat hala sıkıntı yaşıyorum
Olumsuz;Erkekiçin fon fırçasıyla alakası yok
Olumlu;Ürün gayet kaliteli ve çekim gücü çok güzel.Fakat eşim halıları süpüremiyor çünkü çekim gücü çok yüksek olduğu için tekerlekleri hareket etmiyor.Bu sıkıntı.Borusu bence çok tırt uyduruk birşey hiç yumuşak değil çok sert her an kırılacak gibi.Toz haznesi küçük olduğu için filtresini düzenli temizlerseniz verimli kullanırsınız.
Olumlu;hediye olarak aldim guzel gorunuyor
Olumsuz;hiç bir ses kablosu  takılı olmadıgı halde sürekli subwoofer dan ugultu geliyor.
Olumlu;Çok güzel.
Olumsuz;uygun değil
Olumsuz;tam bır serefsızlık cok kotu bır makıne gercekten onunden gecınce bıle hemen duruyo daha alalı 1 ay olmadı  ya geri iade etmek ıstıyorum gercekten havluları bır herseyı suınıflandıracaksın boyle makınenın benb sınırımden kaldırıp atasım var .  bıde hıc bılgı vermıyorlar gecek seyı soylemıyorlar tam bır tıcaqrı ahlaksızlık
Olumlu;ürün görseli beyaz ama belirtildigi gibu gri geldi. teşekkurler
Olumsuz;Ürün cam menteşeleri eğik yani defolu
Olumlu;ÇOK FAZLA PARÇASI VAR BU KADAR BEKLEMİYORDUM.
Olumsuz;Son derece gürültü ve titreşimli çalışıyor.bilgisayarda kasmalara ve dosya erişimlerinde gecikmeler meydana geliyor
Olumlu;Fiyat performans ürünü.. çok mükemmel
Olumlu;Gayet iyi bi urun
Olumlu;Ürün çok güzel 2 aydır kullanıyorum çok memnunum
Olumlu;süper beğendim
Olumsuz;TV standı yok
Olumsuz;ürün tam soğumadan ısıtmıyor
Olumlu;HARİKA BİR MAKİNA YAPMIŞLAR ŞİMDİYE KADAR KULLANDIKLARIMIN EN İYİSİ.
Olumlu;Bugün aldım güzel gözüküyor.Kaliteli duruyor kullandıkça sorun çıkacak mı bakacağız
Olumlu;buhar gücü ıyi zaten kullanıyorum markayi
Olumsuz;çok beğenmedim ben kupkuru oluyor
Olumsuz;Yorumlara bakarak almıştım. Saçımı kabarttı ve ağırlaştırdı. Nemli saça uygulayıp saç kurutma makinesiyle kuruttum. Acaba yanlış bir şey mi yaptım diye tekrar uyguladım ama sonuç yine aynı. Saçımı düzleştirmek zorunda kalmadan doğal bir düzlük olacak sanmıştım ama malesef.....
Olumsuz;Güzel bir rimel ama beklentiyi fazla yüksek tutmamak gerekiyor. Daha önce max factor rımellerini kullanmamıştım denemek için almıştım ama güzel ve dolgun kiprik isteyen arkadaşlara maybelline ürünlerini tavsiye ederim.
Olumlu;Çok Güzel
Olumsuz;aslında Samsung'a alışınca LG bin renkleri biraz soluk kalıyor yani ekranda perde veya sisliymis gibi geliyor ancak anlamadığım 4k bir ürün un nasıl soluk bir görüntü verir daha canlı olması lazım benim görüşüm
Olumsuz;tamamen rezalet bu magazadan urun almayin
Olumsuz;Sakın almayın. Buhar tuşu bozuldu. Buhar veremiyorum. Tabanı sürekli kıyafetlere yapışıp kalıyor. Ütünün tabanında da iz kalıyor sürekli. Kırışıklıkları da çok zor açıyor. Asla almayın
Olumsuz;tenda modeminiz arızalandı fakat 27 gündür temsilciniz bana garanti adresinizi veremedi.anlaşmalı kargonuz yok neden garantili bir ürün için kargo ücreti istiyorsunuz
Olumsuz;Olumsuz yönleri: Ilk kullanımdan sonraki yıkamada kilit sistemi kirildi(kullanım hatası değil ilk kez bu tarz bir urun kullanıyor degilim)Ayrıca bıçak sistemi yere çok yakın olduğu icin parçalayacak ürünleri rahat çevirip bıçak arasına alıp parçalamıyor altta olanları daha çok eziyor ustekiler olduğu gibi kaliuor
Olumlu;Harika Bi ürün tşkler
Olumlu;Ürün anlatıldığı gibi ve gerekli önlemler alınarak tarafıma teslim edilmiştir. Gerçekten kullanışlı ve güzel bir üründür. Alacaklara tavsiye ederim.
Olumlu;Ürün büyüklüğü istediğim gibi geldi hicbir sorunu yoktu memnun kaldım.
Olumsuz;Süper hizli diye siparis veriyoruz urun kargoya 2 gunde veriliyor.Ürun guzel ama
Olumlu;Süper tereddüt etmeden alıp kullanabilirsiniz
Olumlu;Tam istedigim gibi.
Olumlu;gelecekten gelip yorum yazanları hayretle izliyorum. ne fırınmış arkadaş guvenmiyorum
Olumlu;kablosu biraz kısa onun dışında güzel
Olumsuz;Hiç tavsiye etmem kesinlikle almayın uzun süre ısınmıyor dereceyi 200 ayarlayrm çok isindiktan sonra kenarları yakıyor kissaniz pisirmiyor kısacası yemek yapmayı işkence haline getiren bir firin üstelik pahalı ...
Olumlu;Olumlu yönleri: son derece güzel
Olumlu;Philips daha iyisini yaparsa ya kadar en iyisi bu. Tasarım ve Kullanım O kadar kolay ve güzel ki Eşime bile fırsat vermiyorum Kullanması için :)
Olumsuz;geç kargolama ama beklenen ürün geldi
Olumsuz;kesinlikle ikinciye kullanmazsınız
Olumsuz;kargo firmasi ürünü 1 haftada getirdi ve urun hasar görmüş servis tutanak tutup gitti geri iade talebinde bulunduk ürün haftaya gidecektir incelenecekte ölme eşşeğim ölme birdaha bu siteden beyaz eşya almam ürünün gelmesi geri gitmesi 1 ayı bulacak Tesekkurler trentyol helal olsun
Olumsuz;Görüntülü kalitesi beklentileri çok altinda
Olumlu;Ürünü 1 aydır kullanıyorum. 15 yıldan fazla süredir de bu markayı kullanmaktayım. Bu model dert zeminlerde emiş gücü oldukça güçlü hatta vilada yapmaya bile gerek kalmıyor diyebilirim. Sert zemine göre halı üzerinde biraz performans düşüklüğü olsa da yine de çok kuvvetli olduğunu söyleyebilirim. 750 Watt gücü olması sizi yanıltmasın rowenta nın 1800 watt lık süpürgesini de kullandım ve ondan kalır yanı yok emin olabilirsiniz. Araştırarak alacak olanlar listenizde dursun değerlendirmenizde fayda olacak bir ürün.
Olumlu;kaliteli ve kullanışlı bir ürün beğendim. .
Olumsuz;fırın hiç değil iyi pişirmiyor yemeklerin orta kısmı ham kalıyor servis malesef işi bilmiyor sürekli bildiğini okuyor sonrada yalnışlarını anlayıp ek rezistans takıp başından savuyor fazladan tüketilen elektrik parasını kendisimi ödeyecek
Olumsuz;ürün bozuldu.
Olumsuz;idare eder fiyata göre makul
Olumlu;gerçekten çok güzeldi kaliteli ve hızlı kargo.tesekkurler memnunuz.
Olumlu;Yaklaşık 10 aydır kullanıyorum. Performansı beklentilerimi karşıladı. Şarjıda günlük kullanımda gayet iyi dayanıyor.
Olumlu;Kaliteli guzel paketleme kargoda gayet hızlıydı  teşekürler
Olumlu;Karaca’nın her ürünü gibi uygun fiyatlı bu model tost makinesi de gayet kaliteli
Olumsuz;Ürün elime ulaştı ulaştığı gün iadesini oluşturdum. Isı derecesi çok kötü. Üzerindeki ızgaralık ısındığında ve soğuduğunda yamuldu. Ürün kalitesi oldukça kötü.
Olumlu;Ürün ve hizmet Harika teşekkürler
Olumlu;cok guzel. Anneme hediye aldimkl. Kalabalik misafirler icin süper oldu
Olumsuz;Sesi boğuk ve  l r ye göre takın dediği halde kulakliklarda öyle bi yazi mevcut değil kablosu 20 gün sonra jak girişinden ayrıldı tavsiye etmem
Olumlu;Ürün hemen ertesi günü elimize ulaştı. Teşekkürler.
Olumsuz;Çok seslii
Olumlu;ürün çok güzel harikat
Olumlu;Çok güzel memnunum
Olumlu;guzel paketlenmisti elime guzel ulasti kullanmadim daha ama calismasi icin denedim guzel yani fiyatina gore guzrl urun
Olumsuz;Olumsuz yönleri: Gold master marka fritözüm istediğim gibi çıkmadı. Aşırı derecede ısınmadığı için patateslerim çok yavaş pişiyor. Ayrıca çıtır çıtır olmasını istediğim patateslerim yumuşak oluyor. Bütün yağları denedim ama hep aynısı oluyor. Keşke paraya kıyıp Tefal marka alsaydım. En azından kaliteli patatesler pişirecektim. Ucuz diye bu markayı seçtim.  Yine kızartma tenceresine kaldım.
Olumlu;ütü cok güzel beğenerek kullanıyoruz düşünmeden satın alabilirsiniz.
Olumlu;Çok beğendim
Olumsuz;kesinlikle tavsiye etmem ilk günden daha çekmiyor.
Olumlu;ürün iyi sadece çok sesli çalışıyor.
Olumlu;Bakalım anlatıldığı gibimi? Kullandıkca görecem.
Olumlu;güzel ve kullanışlı ürün
Olumlu;süper  bi ürün
Olumlu;Ürün bildiğim ve beklediğim  bir ürün ancak bu mağazadan sakın almayın.
Olumlu;Arakdaşlar bu fiyata bu özelliklere sahip başka telefon yok piyasada. Ama birçok özellik var diye mükemmel bir telefon beklmeyin. Bende var 1 yıla yakındır kullaıyorum. İphone ile karşılaştırısanız hayal kırıklığına uğrarsınız. Kendi içinde değerlendirin bu telefonu. Fiyatı dediğim gibi çok iyi bir çok özelliği var ovistore appstoreun %100 de 1 değil ama idare edecek uygulamalar bulabilirsiniz. En büyük sıkıntısı yavaş olması (iphone a göre :) )
Olumlu;ürün hemen elime geçti.daha öncede phılıps kullanmıştım ama başka modelini. ürünün fıyatı özelliklerine göre çok iyi....kesinlikle tavsiye ediyorum.
Olumsuz;ürünü başka bir mağazadan aldım tam anlamıyla facia paranızı sokağa atmayın
Olumlu;Sessiz ve süper çekiş herkeze tavsiys ederim
Olumsuz;Hayatimda yatak odasinda bu kadar gurultu yapan bir sey gormedim Cok ama Cok fazla ses yapiyor sakin almayin su anda iade etmis  durumdayim umarim parami en kisa zamanda alirim
Olumlu;Piyasadaki birçok ürüne nazaran gerek fiyat gerekse performans olarak hem uygun hemde çok kaliteli bir ürün.harika derece sessiz ve vakum gücü çok yüksek.Elektrik sarfiyatı bile çok az A sınıfı.teşekkürler philips
Olumsuz;Ürünü aldım pisirmesi falan güzel ancak çok yağ sıçratıyor etrafı berbat ediyor
Olumlu;Gayet memnunum.Tesekkurler
Olumlu;Gayet kaliteli fiyat çok iyi
Olumsuz;1200 devir sıemens çamaşır makinası aldım daha dün kuruldu yanlış bişey yaptım galiba makina kilitlendi sanki kendini programda ve aynı sürede duruyo çalışmiyo bilgisi olan varsa yazabilirmi lütfen
Olumlu;Kaynanama en uzun gece kampanyasinda aldım!fiyat da gayet makuldu! Çok memnun kaldığını belirtti! Sessiz ve çekim gücü çok iyi!ben de philips kullanıyorum! Kesinlikle tavsiye ederim!
Olumlu;Öğrenci için çok iyi
Olumsuz;Alt kisminin su cikan agzinin oldugu yer paslandi tefalden beklenmeyen bir performans:((
Olumlu;amazzon tr (satıcı amazzon olacak) alınan telefondan daha değerli..
Olumsuz;Abartıldığı kadar iyi bir telefon değil. NCF yok. İnanamıyorum.
Olumlu;Bende yorumlar üzerine bunu aldım 2 gün de elime ulaştı ilk defa kullandım gayet güzel tadı kullanımı
Olumlu;fantom çekiş gücü çok iyi
